scenario_id,policy_year,gross_return_ann,ter_ann,provenance
stress,25,0.05,0.0045,[std] -20.00% in policy year 1 then 5.00% p.a. - puts the fund far below the premiums paid so the Beitragsrueckgewaehr net amount at risk bites
stress,26,0.05,0.0045,[std] -20.00% in policy year 1 then 5.00% p.a. - puts the fund far below the premiums paid so the Beitragsrueckgewaehr net amount at risk bites
stress,27,0.05,0.0045,[std] -20.00% in policy year 1 then 5.00% p.a. - puts the fund far below the premiums paid so the Beitragsrueckgewaehr net amount at risk bites
stress,28,0.05,0.0045,[std] -20.00% in policy year 1 then 5.00% p.a. - puts the fund far below the premiums paid so the Beitragsrueckgewaehr net amount at risk bites
stress,29,0.05,0.0045,[std] -20.00% in policy year 1 then 5.00% p.a. - puts the fund far below the premiums paid so the Beitragsrueckgewaehr net amount at risk bites
stress,30,0.05,0.0045,[std] -20.00% in policy year 1 then 5.00% p.a. - puts the fund far below the premiums paid so the Beitragsrueckgewaehr net amount at risk bites
stress,31,0.05,0.0045,[std] -20.00% in policy year 1 then 5.00% p.a. - puts the fund far below the premiums paid so the Beitragsrueckgewaehr net amount at risk bites
stress,32,0.05,0.0045,[std] -20.00% in policy year 1 then 5.00% p.a. - puts the fund far below the premiums paid so the Beitragsrueckgewaehr net amount at risk bites
stress,33,0.05,0.0045,[std] -20.00% in policy year 1 then 5.00% p.a. - puts the fund far below the premiums paid so the Beitragsrueckgewaehr net amount at risk bites
stress,34,0.05,0.0045,[std] -20.00% in policy year 1 then 5.00% p.a. - puts the fund far below the premiums paid so the Beitragsrueckgewaehr net amount at risk bites
stress,35,0.05,0.0045,[std] -20.00% in policy year 1 then 5.00% p.a. - puts the fund far below the premiums paid so the Beitragsrueckgewaehr net amount at risk bites
stress,36,0.05,0.0045,[std] -20.00% in policy year 1 then 5.00% p.a. - puts the fund far below the premiums paid so the Beitragsrueckgewaehr net amount at risk bites
stress,37,0.05,0.0045,[std] -20.00% in policy year 1 then 5.00% p.a. - puts the fund far below the premiums paid so the Beitragsrueckgewaehr net amount at risk bites
stress,38,0.05,0.0045,[std] -20.00% in policy year 1 then 5.00% p.a. - puts the fund far below the premiums paid so the Beitragsrueckgewaehr net amount at risk bites
stress,39,0.05,0.0045,[std] -20.00% in policy year 1 then 5.00% p.a. - puts the fund far below the premiums paid so the Beitragsrueckgewaehr net amount at risk bites
stress,40,0.05,0.0045,[std] -20.00% in policy year 1 then 5.00% p.a. - puts the fund far below the premiums paid so the Beitragsrueckgewaehr net amount at risk bites
stress,41,0.05,0.0045,[std] -20.00% in policy year 1 then 5.00% p.a. - puts the fund far below the premiums paid so the Beitragsrueckgewaehr net amount at risk bites
stress,42,0.05,0.0045,[std] -20.00% in policy year 1 then 5.00% p.a. - puts the fund far below the premiums paid so the Beitragsrueckgewaehr net amount at risk bites
stress,43,0.05,0.0045,[std] -20.00% in policy year 1 then 5.00% p.a. - puts the fund far below the premiums paid so the Beitragsrueckgewaehr net amount at risk bites
stress,44,0.05,0.0045,[std] -20.00% in policy year 1 then 5.00% p.a. - puts the fund far below the premiums paid so the Beitragsrueckgewaehr net amount at risk bites
